project_id,description,sources,factiva_sources
32038,"On November 10th 2001, President of the Cambodia_„Žs Senate Samdech Chea Sim and Chinese Ambassador Ning Fukui laid the foundation stone for the Senate library and office building. The project was a request by the Royal Government of Cambodia to the People_„Žs Republic of China, and the initial agreement was signed in June 20th 2001. The project is part of the Exchange of Notes concerning assistance on Economic and Technical Cooperation extended by China and Cambodia to strengthen the relationship between two countries. This project should be done within 9 months. Construction was carried out by Yanjian Group and is expected to cost 16.41 million yuan. ","https://global.factiva.com/aa/?ref=bbcapp0020010804dwba005oa&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=xnews00020010715dx6k014tx&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.mfaic.gov.kh/Products/1747-exchange-of-notes-on-chinese-assistance-to-senate.aspx, Government Source (Donor/Recipient); http://www.ide.go.jp/English/Publish/Download/Brc/pdf/03_chapter1.pdf, Academic Journal Article; http://english.yanjian.com.cn/Photo/ShowPhoto.asp?PhotoID=96, Implementing/Intermediary Agency Source","https://global.factiva.com/aa/?ref=bbcapp0020010804dwba005oa&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=xnews00020010715dx6k014tx&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32040,"According to an agreement between the Chinese government and the Cambodian government signed October 15, 2002, the Chinese government would give nearly US$1.9 million (or in some reports, 16 million CNY) to drill 500 water wells in Cambodia. The wells will be financed from remaining funds granted to Cambodia in the Agreement on Economic and Technical Cooperation, which was signed November 13, 2000. The wells are expected to be located in Kampong Cham, Kampong Speu, Kampong Chhnang, Kampot, and Krong Preah Sihanouk. This is the third batch of wells the Chinese government helping build in Cambodia. The Chinese government has previously granted 1000 tube wells to Cambodia from the period of 1996 to 2001 (See Project ID#32035) . The drilling ceremony for the wells occurred on December 30, 2002, and the handover ceremony for the wells was held on July 13, 2004.","http://english.peopledaily.com.cn/200212/31/eng20021231_109336.shtml, Media Report, including Wikileaks; http://news.xinhuanet.com/newscenter/2002-10/15/content_597662.htm, Media Report, including Wikileaks; http://news.sina.com.cn/w/2004-07-14/08123079445s.shtml, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=xnews00020021231dycu002oa&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=xnews00020021231dycu002oa&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32041,"On March 31th 2002, a total investment of five million major construction project on navigation route improvement of the Mekong River backed by Chinese engineers, started on March 30th at the river_„Žs section in Laos. The improvements will be carried out on 331-kilometre long navigation route at the river, which runs through China, Myanmar, Laos, Thailand, cambodia and Vietnam, for a total distance of 4661 km.","https://global.factiva.com/aa/?ref=bbcapp0020020331dy3v000xd&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=bbcapp0020020331dy3v000xd&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32042,"The Chinese government granted the Cambodian Mine Action Centre with 108 thousand USD in de-mining equipment on June 6, 2002. The equipment is to be used to de-mine 6 to 8 million mines.","https://global.factiva.com/aa/?ref=bbcapp0020020606dy66006mx&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=bbcapp0020020606dy66006mx&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32045,"On 2002 June 8th, Chinese Ambassador to Cambodia Ning Fukui handed over 15,000 USD to King Norodom Sihanouk to aid the poverty eradication programme _„ñ Krom Samdech Euv_„.The King has instructed Minister of Royal Palace Kong Somol to single out a village in the Kandal province to construct a primary school with this money. According to China's Ministry of Foreign Affairs, since 1993, China has provided material assistance to the working group; supplies that had been donated include small batches of construction machinery, drilling rigs and agricultural supplies. The donation aims to assist the working group in its humanitarian activities in helping Cambodian poor people in the vast rural areas through digging ponds, building roads, constructing houses and so on. As of 2008, China has provided supplies worth 13 million RMB. ","https://global.factiva.com/aa/?ref=bbcapp0020020608dy68002xl&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://english.peopledaily.com.cn/200206/08/eng20020608_97431.shtml, Media Report, including Wikileaks; http://www.fmprc.gov.cn/mfa_chn/gjhdq_603914/gj_603916/yz_603918/1206_604282/1206x2_604302/t428124.shtml, Government Source (Donor/Recipient); http://www.mfaic.gov.kh/Products/1910-official-visit-by-chinese-prime-minister.aspx, Government Source (Donor/Recipient); http://www.mfaic.gov.kh/Products/1360-prime-minister-of-the-peoples-republic-of-china-pays-an-official-visit-to-the-kingdom-of-cambodia.aspx, Government Source (Donor/Recipient); https://groups.yahoo.com/neo/groups/CambodiaNews/conversations/topics/3417, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=bbcapp0020020608dy68002xl&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32049," On January 8th, 2013, Cambodia and China_„Žs Guangxi Zhuang Autonomous Region signed a Memorandum of Understand on strengthening bilateral communication and cooperation in agriculture. The MoU was inked by MAFF Secretary General H.E. Lord Rasmey and Department of Agriculture of Guangxi (DAG) Director General H.E. Zhang Mingpei under the witness of H.E. Chan Sarun, Minister of MAFF. Zhang Mingpei on that occasion donated 43 vegetable pesticide residue quick-detecting instruments in equivalent to 30,000 U.S. dollars to Cambodian Ministry of Agriculture, Forestry and Fisheries (MAFF). ","https://global.factiva.com/aa/?ref=XNEWS00020130108e9180020w&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; http://www.akp.gov.kh/?p=29063, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=XNEWS00020130108e9180020w&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks"
32050," On January 8th, 2013, China's Guangxi Zhuang Autonomous Region donated 100 tons of milled rice to Cambodia. This donation was made by ZHang Mingpei, the director-general of Department of Agriculture of Guangxi, at the Peace Palace in Phnom Penh. During his visit, he also signed a MoU with Cambodian Ministry of Agriculture on strengthening bilateral communication and cooperation in agriculture. ","https://global.factiva.com/aa/?ref=XNEWS00020130108e918002si&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; http://www.globaltimes.cn/content/754518.shtml, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=XNEWS00020130108e918002si&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks"
32053,"On March 9th 2011, Cambodia broke ground for the construction of the Kingdom_„Žs second largest container terminal of Phnom Penh Autonomous Port. The new terminal is located in Kien Svay district of Kandal province, about 30 kilometres from the existing port in Phnom Penh. It is built to deal with the surge of cargo received by the country_„Žs port, since the number of containers has increased each year; it will be able to handle 150,000 TEUs per year in the first stage of development (based on the report published by MPWT, found in the resource section below). It also help ship goods directly to Singapore, Malaysia, and China's Hong Kong and Shanghai, as well as other neighboring countries and regions without ship transfer. Based on the CDC report (found in the resource section below), the construction of the new terminal was funded by a preferential buyers' credit of US$27,452,416 from China. The loan agreement for the project is one out of 14 agreements signed between China and Cambodia on 21 December 2009; the total value of the agreements was widely believed to be US$853 million (See Project ID#32201). The construction was carried out by Shanghai Construction (Group) General Company. The terminal started operation 1 January 2013; the inauguration ceremony for the official use of the new terminal was held on 22 January 2013. ","https://global.factiva.com/aa/?ref=XNEWS00020130123e91m000l6&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; http://cb.mofcom.gov.cn/article/zxhz/tzdongtai/201301/20130100010226.shtml, Government Source (Donor/Recipient); http://www.phnompenhpost.com/business/phnom-penh-autonomous-port_„Žs-new-cargo-terminal-opened, Media Report, including Wikileaks; http://english.people.com.cn/90001/90776/90883/7313519.html, Media Report, including Wikileaks; http://cb.mofcom.gov.cn/article/zxhz/tzdongtai/201103/20110307441669.shtml, Government Source (Donor/Recipient); http://cdc.khmer.biz/projectlist/project_list_updated.asp?OtherDonor=29&status=0&UpdateFrom=1%2F1%2F2014&UpdateTo=12%2F31%2F2014&hiddenSortDirection=&hiddenInitPage=1&hiddenSortColumn=OfficialTitle, Government Source (Donor/Recipient); http://cdc.khmer.biz/reports/Individual_project_summary_report2008.asp?Record_Id=China-2010-DE32&DonorName=China, Government Source (Donor/Recipient); http://www.ciwn.mpwt.gov.kh/ncc-presentation/ppap-presentation.pdf, Government Source (Donor/Recipient); http://kh.china-embassy.org/chn/dssghd/t1227691.htm, Government Source (Donor/Recipient); http://kh.china-embassy.org/chn/dssghd/t804506.htm, Government Source (Donor/Recipient)","https://global.factiva.com/aa/?ref=XNEWS00020130123e91m000l6&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks"
32062,"The China Cultural Relics Research Institute donated 10 million CNY to the restoration of the Chau Say Tevoda temple of Angkor Wat on March 29, 2000. The China Cultural Relics Research Institute is representing the Chinese government, and is cooperating with Chinese and Cambodian workers in the restoration project by replacing missing stone sections with replicas. The project was expected to be completed within five years; it was finished in late 2009. After completing the renovation work on Chau Say Tevoda, the governments of China and Cambodia agreed to Ta Keo as the site of the second joint renovation project. Parts of Angkor Wat are also being restored with the help of Japan, France, Italy and India. ","https://global.factiva.com/aa/?ref=bbcapp0020010804dw3t00lk8&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=apnw000020010803dwbk0031v&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://english.cach.org.cn/col/col1582/index.html, Other; http://www.devata.org/chau-say-tevoda-khmer-devata-temple-reopens/#.U5iDCfmSySo, Other; https://global.factiva.com/aa/?ref=CHNDLY0020051107e1b80000f&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://cb.mofcom.gov.cn/article/zxhz/tzdongtai/200509/20050900387529.shtml, Government Source (Donor/Recipient)","https://global.factiva.com/aa/?ref=bbcapp0020010804dw3t00lk8&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=apnw000020010803dwbk0031v&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=CHNDLY0020051107e1b80000f&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32065,"On November 8th, 2000, the Chinese government provided relief goods valued 2 million yuan to the royal government of Cambodia. Chinese Ambassador Ning Fukui signed an exchange of notes with Nor Namhong, senior minister and minster of the Ministry of Foreign Affairs and International Cooperation of Cambodia.","https://global.factiva.com/aa/?ref=bbcapp0020010804dwb8005af&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://english.peopledaily.com.cn/english/200011/08/eng20001108_54650.html, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=bbcapp0020010804dwb8005af&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32067,"May 29, 2003 the Chinese government donated office supplies worth 20 thousand USD to Cambodia's National Election Committee to support Cambodia's national election. The office supplies included computers, laser printers, fax machines, digital cameras and duplicators. The transfer ceremony was held on Thursday, in Phnom Penh, with the attendance of NEC's chairperson Im Suosdey and Chinese Ambassador to Cambodia Ning Fukui","https://global.factiva.com/aa/?ref=bbcapp0020030529dz5t009vm&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=bbcapp0020030529dz5t009vm&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32069,"The inauguration of Cambodia's first modern shopping center was attended by Chinese Ambassador to Cambodia Ning Fukui on May 26, 2003. Pung Kheav Se, General Manager of Canadia Bank Ltd and owner of the mall, thanked the contribution of experts from China, including engineers and technicians, in the construction of the center. Staff_Note: It is unclear what specific contributions were made by the experts and whether their work was part of a development aid project or was contracted to them. Could not find other articles to provide more information on China's contribution to this project, but described it as free-standing technical assistance because of the language of the media report. The owner is Cambodian, which meant that it could not be a joint venture and likely not foreign direct investment. But the manager is quoted as saying, 'Our experts from China who came with responsibilities had been a great contribution to the finishing of the Shopping Center.'","https://global.factiva.com/aa/?ref=xnews00020030528dz5q000ub&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=xnews00020030528dz5q000ub&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32070,"The Chinese government donated 1 million CNY worth of office equipment to the Cambodian government on August 28, 2002. The equipment included computers, cameras, and video cameras and was given to help Cambodia host the Association of Southeast Asian Nations summit, which was scheduled to occur in late 2002. Chinese ambassador to Cambodia King Fukui and Secretary of State for the Ministry of Foreign Affairs of Cambodia Uch Kim An signed the document confirming the hand over.","https://global.factiva.com/aa/?ref=xnews00020020828dy8s00a1a&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=xnews00020020828dy8s00a1a&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32077,"China granted Cambodia an interest-free loan of 24 million USD to rebuild a 200 km long road from Kratie province to Trapeang Kriel, Stung Treng which is at the Cambodia-Laos border ( last segment of National Road No.7). The loan agreement was signed between Chinese Ambassador to Cambodia Ning Fukui and the Cambodian government on November 27, 2003 in Phnom Penh. The interest-free loan agreement was one of two agreements signed during the ceremony; under the other agreement, China would provide a grant of US$6.1 million dollar to Cambodia, which would then be handed over to the Cambodian Foreign Ministry for general use by the Cambodian government (See Project ID#32081). 
The rebuilding project was undertaken by Shanghai Construction Group General Co. The project began on October 2004 and was completed on 31 Dec 2007. An Inauguration for the opening of the road was held on April 29, 2008. 
The interest-free loan is not the only recorded financial assistance provided by the Chinese government the project. In November 2002, China had provided a concessional loan with a 2% interest rate of US$60,980,000. On the same date, China had also provided US$2,430,000 in grant for the project (based on the 2 CDC reports found in the resource section below). The CDC reports are supported by a speech made by Cambodia Prime Minister Hun Sen, during his visit to the construction sites of National Road 7 in 26 July 2006; the PM has mentioned three types of assistance by China for the project- grant, non-interest loan and low-interest loan. It is difficult to tell if the US$24 million interest-free loan was provided by the Chinese government in addition to the US$60.98 million loan and US$2.43 million grant, or if the Chinese government has converted US$24 million out of the US$60.98 concessional loan into an interest-free loan. However, the 2009 'Overview on Transport Infrastructure Sectors in the Kingdom of Cambodia' report published by the Infrastructure and Regional Integration Technical Working Group (IRITWG) has recorded that the total cost of the rehabilitation project for National Road 7 is around US$62.8 million dollars and was financed by China, so the latter scenario is more likely.","https://global.factiva.com/aa/?ref=LBA0000020031127dzbr001bj&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=BBCAPP0020031127dzbr000jj&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.mpwt.gov.kh/wp-content/uploads/2012/04/2009-Overview-on-Transport-Infrastructure-Sectors-in-Kingdom-of-Cambodia.pdf, Government Source (Donor/Recipient); http://cnv.org.kh/selected-comments-in-the-visit-to-the-construction-sites-of-national-road-7-and-se-kong-bridge-in-the-province-of-stoeung-treng/, Government Source (Donor/Recipient); http://cdc.khmer.biz/reports/Individual_project_summary_report2008.asp?Record_Id=China-2006-SVIM881&DonorName=China, Government Source (Donor/Recipient); http://cdc.khmer.biz/reports/Individual_project_summary_report2008.asp?Record_Id=China-2006-SVIM872&DonorName=China, Government Source (Donor/Recipient); http://www.academia.edu/6898359/Cambodia-China_Relations_Based_on_the_Mutually_Beneficial_Interests_China_the_Most_Trusted_Friend_beyond_Doubt, Academic Journal Article; http://www.cdri.org.kh/webdata/download/wp/wp52e.pdf, Other Academic (Working Paper, Dissertation); http://kh.china-embassy.org/chn/zgjx/t450610.htm, Government Source (Donor/Recipient); http://www.shsz.org.cn/book/shownews.asp?num=szzz-2006929154356, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=LBA0000020031127dzbr001bj&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=BBCAPP0020031127dzbr000jj&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32080,"On May 29, 2002 rehabilitation work costing 26 million USD was completed on the Kirirom I hydropower dam in Kirirom, Cambodia. The rehabilitation was funded by China Electric Power Technology Import and Export Co. (CETIC) and by the Export-Import Bank of China, which provided a loan credit of up to 15.5 million USD to the China Electric Power Technology Import and Export Corp in 2000 to do the construction. Management of the completed hydropower project will be turned over to Cambodia after a period of 30 years. ","https://global.factiva.com/aa/?ref=PWRA000020130328e93e00004&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=chndly0020010805dwcb0036y&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=aenw000020020604dy630000o&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=oana000020020530dy5u001e1&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://english.people.com.cn/200205/29/eng20020529_96739.shtml, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=afpr000020020529dy5t00798&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://ppi.worldbank.org/explore/PPIReport.aspx?ProjectID=4571, NGO/Civil Society/Advocacy; https://global.factiva.com/aa/?ref=xnews00020010715dx42008q9&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://muse.jhu.edu.libproxy1.nus.edu.sg/journals/southeast_asian_affairs/v2008/2008.um.pdf, Academic Journal Article","https://global.factiva.com/aa/?ref=PWRA000020130328e93e00004&pp=1&fcpil=zhcn&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=chndly0020010805dwcb0036y&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=aenw000020020604dy630000o&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=oana000020020530dy5u001e1&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=afpr000020020529dy5t00798&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=xnews00020010715dx42008q9&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32081,"On November 27th 2003, Chinese Ambassador to Cambodia Ning Fukui signed an agreement to grant 50 million yuan (6.1m US dollars) to the Cambodian government. This assistance grant was handed to the Cambodian Foreign Ministry for general use. This agreement is one of the two agreements he signed with the royal government of Cambodia on economic and technical cooperation.","https://global.factiva.com/aa/?ref=BBCAPP0020031127dzbr000jj&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=BBCAPP0020031127dzbr000jj&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32086,"In April 2006, China and Cambodia signed cooperation accords on the provision of one unit of THSCAN Mobile Container Scanning System to the Royal Government of Cambodia. On January 30, 2007, a ceremony was held at Phnom Penh to mark the official handover of the vehicle-mounted mobile container inspection equipment to the Royal Government of Cambodia. Cambodia hopes that such an aid will help strengthen cargo security checks, the fight against smuggling and tax evasion, as well as modernise Cambodian custom clearance. ","http://english.gov.cn/2006-04/09/content_249231.htm, Government Source (Donor/Recipient); http://www.cambodiadaily.com/archives/chinas-wen-jiabao-to-visit-cambodia-friday-53542/, Media Report, including Wikileaks; http://www.chinaqw.com/hqhr/hrdt/200702/01/60189.shtml, Media Report, including Wikileaks; http://cb.mofcom.gov.cn/article/zxhz/tzdongtai/200701/20070104338503.shtml, Government Source (Donor/Recipient); http://news.xinhuanet.com/english/2006-04/08/content_4399775.htm, Media Report, including Wikileaks; http://news.sina.com.cn/o/2006-04-10/09218657334s.shtml, Media Report, including Wikileaks",
32087,"At the ASEAN summit on November 4th 2002, Chinese Premier Zhu Rongji announced the cancellation of Cambodia_„Žs debts, referring to an interest-free loan given to Cambodia by China in 1999 for $200 million USD. The debt cancellation came after the Cambodia Prime Minster requested assistance for upgrading the country transportation network and power plants during talks between Premier Zhu and Cambodian Prime Minster Hun Sen hours after Zhu started his two-day visit to Cambodia. Chinese Prime Minster Zhu Rongji also announced 12.5 million USD in grant aid and interest-free loans to Hun Sen_„Žs government ( Project ID: #32066 ) ","https://global.factiva.com/aa/?ref=apnw000020021120dyb4000cu&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.news24.com/xArchive/Archive/China-writes-off-Cambodias-debt-20021102, Media Report, including Wikileaks; http://www.jstor.org.libproxy1.nus.edu.sg/stable/pdf/10.1525/as.2003.43.1.113.pdf?&acceptTC=true&jpdConfirm=true, Academic Journal Article; http://www.epochtimes.com/gb/2/11/3/n241634p.htm, Media Report, including Wikileaks; http://www.fmprc.gov.cn/mfa_chn/ziliao_611306/zt_611380/ywzt_611452/zt2002_612080/2343_612126/t10973.shtml, Government Source (Donor/Recipient)","https://global.factiva.com/aa/?ref=apnw000020021120dyb4000cu&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32088,"The Chinese government agreed to give 400 sets of police motorcycles to the Cambodian Ministry of Interior on March 23, 2004. The motorcycles are to be used to help support the Cambodian police. The motorcycles were delivered on March 11, 2005.","https://global.factiva.com/aa/?ref=BBCAPP0020050311e13b002e5&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.cambodiadaily.com/archives/deputy-pms-visit-yields-pacts-with-china-39311/, Media Report, including Wikileaks; http://www.cambodiadaily.com/archives/chinese-deputy-pm%E2%80%88visits-to-strengthen-ties-39255/, Media Report, including Wikileaks; http://mfaic.gov.kh/printing.php?article=480&lg=en, Government Source (Donor/Recipient); https://www.cambodiadaily.com/archives/chinese-deputy-pm%E2%80%88visits-to-strengthen-ties-39255/, Media Report, including Wikileaks; http://www.china.org.cn/english/international/91072.htm, Media Report, including Wikileaks; http://news.xinhuanet.com/photo/2005-03/11/content_2685051.htm, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=BBCAPP0020050311e13b002e5&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32089,"February 11, 2004 the Chinese Embassy, on behalf of the Chinese government, gave Cambodia 50 thousand USD to help prevent the spread of avian flu. The money was handed over to Cambodian Foreign Minister Hor Namhong at a ceremony attended by the Chinese Ambassador to Cambodia Hu Qianwen.","https://global.factiva.com/aa/?ref=BBCAPP0020040211e02b003uy&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://gb.cri.cn/321/2004/02/13/461@67133.htm, Media Report, including Wikileaks; http://www.mofcom.gov.cn/aarticle/i/jyjl/j/200412/20041200316764.html, Government Source (Donor/Recipient); http://gb.cri.cn/321/2004/02/13/144@66810.htm, Media Report, including Wikileaks; http://news.xinhuanet.com/world/2004-02/11/content_1310192.htm, Media Report, including Wikileaks","https://global.factiva.com/aa/?ref=BBCAPP0020040211e02b003uy&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32095,"The Chinese government pledged to provide about 1,500 meters of HD200 bridge steel to the Cambodian government to improve its infrastructure. The bridge steel is worth 75 million CNY, according to estimates, 500 meters of steel is to be delivered each year from 2003 to 2005 in three installments. The Exchange of Notes confirming the deal was signed December 20, 2002 by Chinese ambassador to Cambodia Ning Fukui and Cambodian Foreign Minister Hor Namhong. China had already given 1 thousand meters of HD200 bridge steel (worth 45 million Yuan) to Cambodia in June 2002 (see Project ID#32037). ","https://global.factiva.com/aa/?ref=xnews00020021220dyck003ei&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.tandfonline.com.libproxy1.nus.edu.sg/doi/pdf/10.1080/10670564.2012.627667, Academic Journal Article","https://global.factiva.com/aa/?ref=xnews00020021220dyck003ei&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32102,"On 4th August 2005, Cambodia's AZ Communication Company has received a license from the Ministry of Posts and Telecommunications to install the CDMA2000 (Code Division Multiple Access) system, and in turn becoming the fifth mobile service provider in the country. The company, a subsidiary of the AZ Company, would use a loan of 250 million RMB yuan (about 30 million US dollars) from China to develop Cambodia's telecommunication industry; the loan was then used to offer a US$30 million commercial contract to China_„Žs Huawei Technologies. The contract was signed on 28th September 2005. Under the contract, China_„Žs Huawei Technologies agreed to provide and install CDMA equipment, transmission and supporting systems for AZCOM CDMA 2000 1X project planned to launch in Cambodia at the end of 2006. ","https://global.factiva.com/aa/?ref=BBCAPP0020050804e1840048t&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://english.peopledaily.com.cn/200509/29/eng20050929_211451.html, Media Report, including Wikileaks; https://books.google.com.sg/books?id=Bf_IAQAAQBAJ&pg=PA330&lpg=PA330&dq=china+%2B+cambodia+%2B+2006+%2B+huawei+%2B+telecommunications&source=bl&ots=VJXWzxax4K&sig=xahs2U_R9RpkpSBCiOhhZNkwN1M&hl=en&sa=X&ved=0CEMQ6AEwCGoVChMI8rbn4tHexgIVlgaOCh31gAyT#v=onepage&q=china%20%2B%20cambodia%20%2B%202006%20%2B%20huawei%20%2B%20telecommunications&f=false, Other Academic (Working Paper, Dissertation); http://www.telecomreviewasia.com/index.php?option=com_content&view=article&id=835:china-and-cambodia-ict-dealsthe-ties-that-bind&catid=71:february-2015&Itemid=276, Social Media, including Unofficial Blogs; http://tech.sina.com.cn/t/2006-05-05/1553926583.shtml, Media Report, including Wikileaks; http://hzs.mofcom.gov.cn/article/zcfb/jwjmhz/200503/20050300031015.shtml, Government Source (Donor/Recipient)","https://global.factiva.com/aa/?ref=BBCAPP0020050804e1840048t&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
32103," On April 8th 2006, the government of the People_„Žs Republic of China and the government of the Kingdom of Cambodia on Saturday signed a joint communiquÍ© .In this joint communiquÍ©, the Government Concessional Loan Agreement between the Export and Import Bank of China as Lender and the Ministry of Economy and Finance of the Kingdom of Cambodia as Borrower on the Project of Upgrading Cambodian National Telecom Network was signed. Xinhua shortly after stated that, 'China also agreed to provide Cambodia with preferential buyer's credit and concessional loans, worth US$200 million, for Cambodia's telecom projects.' The project has since been completed but it is unclear whether it was financed through a concessional loan, preferential buyer's credit, or a combination of both. ","http://www.mfaic.gov.kh/Products/1864-his-excellency-mr-wen-jiabao-premier-of-the-state-council-of-the-peoples-republic-of-china-pays-an-official-visit-cambodia.aspx, Government Source (Donor/Recipient); http://www.cambodiadaily.com/archives/chinas-wen-jiabao-to-visit-cambodia-friday-53542/, Media Report, including Wikileaks; http://en.people.cn/200604/10/eng20060410_257215.html, Media Report, including Wikileaks; http://www.china.org.cn/english/2006/Apr/165003.htm, Government Source (Donor/Recipient); http://news.sina.com.cn/o/2006-04-10/09218657334s.shtml, Media Report, including Wikileaks",
